tree_number,lambda.sim,mu_0.sim,beta.sim,time_decline,time80,final_rich80,time50,time20,time_s20,ntip80,ntip50,ntip20,ntip_s20,mu_f.sim.80,mu_f.sim.50,mu_f.sim.20,mu_f.sim.s20,lambda.fit.80,mu_f.fit.80,beta.fit.80,lambda.fit.50,mu_f.fit.50,beta.fit.50,lambda.fit.20,mu_f.fit.20,beta.fit.20,lambda.fit.s20,mu_f.fit.s20,beta.fit.s20,cga.80,cga.50,cga.20,cga.s20,gamma.80,gamma.50,gamma.20,gamma.s20,decline.length.80,decline.length.50,decline.length.20,gamma.orig.80,gamma.orig.50,gamma.orig.20,gamma.orig.s20
978,4.091153713,5.08858169,0.396662492,4.108214198,7.708214198,100.1686983,6.308214198,5.308214198,3.1,125,183,264,462,4.84940681672987,4.67181671220651,4.46891300727663,3.60071190847139,4.09692192203782,3.99008449817186,904.927268602948,3.46648288106179,3.2654699509438,105.013652379969,3.03029343211864,2.70066480973429,1104.94504319076,3.37417944472291,2.18382751091241,29.9683963405487,7.37337202632,5.97337202662,4.97337202662,2.76515782852,0.513737855648926,0.426303348030623,0.341825837376228,0.179291472985723,3.59999999936186,2.19999999936186,1.19999999936186,9.86858194557725,9.93387425360168,9.58332373631384,6.66038261317161
979,5.162078862,6.42970548,0.507435285,3.199979257,6.099979257,90.65529894,4.999979257,4.199979257,2.4,76,216,423,481,6.13870081459307,5.92117858097054,5.66654652323131,4.52736673210374,3.13686774854349,3.04017142514138,1042.78494306121,3.92963918537846,3.67445779281403,1232.08897647057,4.51891730592898,4.09593974071676,1388.48741261788,3.24869174106311,174.144800532061,-0.00751589868153465,5.96731754903,4.8673175496,4.0673175492,2.26733829155,0.406217262087171,0.400049374220441,0.358445199628386,0.16499232440575,2.90000000091611,1.80000000091611,1.00000000091611,6.05250088904634,10.1363385975753,12.7386804621031,6.25449320417818
980,4.987929538,6.096915177,0.715636008,2.3815699,5.1815699,15.17061904,4.0815699,3.3815699,1.6,18,68,93,71,5.94739666441714,5.76838791495946,5.55475307952946,4.15676511471514,2.38496663686295,2.30183283090504,1237.3409950667,4.81893284351466,4.56574617167865,161.433745264589,4.05461434569389,3.4870929055062,32.3205829313373,4.54788867128402,2.64913435929038,41.3630148729009,4.6381932739,3.64845474995,2.94845474956,1.53300038831,0.444694266379817,0.427605929384131,0.321457862652511,0.157633988844523,2.80000000029667,1.70000000029667,1.00000000029667,3.08093225281765,6.01694877053182,5.31135556961553,2.26795815853827
981,1.854531897,2.704369151,0.160545925,7.210267622,12.81026762,45.3503844,10.71026762,9.210267622,5.4,14,68,160,142,2.35852519343506,2.21986106230005,2.08793407075945,1.56790630269999,1.2102761702932,1.22088898396825,509.467248067822,0.796556140257095,0.630292263907867,323.536481245085,1.70587000062812,1.49823798654971,255.97374488549,1.48506179950444,0.938625287524939,53.9498380276845,11.80333743,9.70333742779,8.203337428383,4.3930698054,0.450663877292035,0.240904886892681,0.327946601063945,0.1626475492535,5.60000001018704,3.50000001018704,2.00000001218704,2.70398326375221,3.38983223429973,7.13990288959262,3.33328285880921
982,7.492032726,9.327728949,0.959661128,1.693897671,3.593897671,21.93398107,2.893897671,2.393897671,1.2,20,62,81,90,9.03129543490775,8.74740542552881,8.39004184913986,6.37892921477678,5.6687020102002,5.6885520167985,1818.73034019934,9.71419010106905,9.41772000755052,2351.08068404791,5.99426150497846,5.20418564375435,51.251763263024,6.53800774206792,4.4034091128707,2530.8041613264,3.466147841,2.76614784178,2.2661478409,1.15777894992,0.544167627021749,0.485751978139081,0.32644197287278,0.183699885484731,1.90000000092961,1.20000000092961,0.700000000929612,3.99879906223331,6.51704665994386,5.02551029366952,2.98476984921037
983,7.128285956,8.522315884,0.805940623,2.246430182,4.546430182,60.56093215,3.646430182,3.046430182,1.6,29,59,76,122,8.30392409938064,8.07123927597919,7.79073955458276,6.17520977934666,5.19007332993598,5.15128503763914,1269.51968975657,4.47501222839846,4.12533795876814,1605.71485435442,7.99386352116561,7.69553692033399,155.45447211857,6.33130624176255,4.78964130289227,2903.22075033797,4.531591169,3.631591169461,3.03159116903,1.58516098758,0.527046907454493,0.380046419210769,0.460310138279293,0.233563930865645,2.30000000048639,1.40000000048639,0.800000000486392,4.74342216709043,4.96975180558272,6.85846659213266,4.43156400478525
984,4.753792196,4.841383593,0.708980388,5.659215839,25.55921584,99.48177552,15.05921584,9.659215839,3.6,65,268,411,320,4.84138352766789,4.84127187001996,4.83624509287776,4.46423983776731,7.21733246276808,7.2485230630593,134.553705153674,4.9170886214543,4.83763841295853,57.4160889349173,4.85151297956493,4.6814597423727,376.613821993954,4.28419928341739,3.42853526607081,179.525864247273,25.35989505,14.85989505495,9.4598950546,3.40067921427,0.818559458451352,0.557993374525421,0.489538409377436,0.261763354323589,19.900000003096,9.40000000309604,4.00000000209604,11.2533320375261,15.7626955689496,17.1478254356596,8.08505604173942
985,6.46219985,8.165916272,0.925691104,1.692958846,3.692958846,12.02739009,2.892958846,2.392958846,1.2,5,14,25,25,7.89839874989115,7.6049067096293,7.27470323059313,5.47699630213678,4.64580214199846,17.136164756831,1.50496624789278,6.17320810445632,6.38013633220524,30.6371865252584,3.1791211101784,2.68349380486224,16.9865087751359,6.77961464962823,5.77063321870408,4971.66884616508,0.294054745677,2.558654239,2.1848727104,1.03876482607,0.06366074168939,0.612724492219115,0.306007229588687,0.287913678660365,1.99999999905423,1.19999999905423,0.699999999054229,0.19098222506817,3.67634695331469,2.54188695552684,2.39159063362071
986,6.833277113,8.807518971,0.576862157,2.592337375,4.692337375,167.044285,3.992337375,3.392337375,2,185,473,738,840,8.21963523252982,7.92715738649841,7.56306764623768,6.02910160943848,6.2189010502743,6.05428067715893,38.8516171582904,6.42017572936006,6.08361175224472,1566.45327954237,5.88324509356443,5.30388380581581,1662.38733454033,6.4240364167049,4.42922875060525,2173.78748063791,4.66719052683,3.96719052693,3.36719052673,1.97485315203,0.519665330046069,0.43451861266158,0.354723836493611,0.189725713190407,2.09999999984897,1.39999999984897,0.799999999848974,12.1761479267167,16.3335078342291,16.6682462301904,9.51281017688568
987,4.814336951,5.654307315,0.744611468,2.560807029,5.760807029,14.95624964,4.460807029,3.660807029,1.7,8,9,33,30,5.57678158264759,5.45020838648397,5.28401453337882,4.05977875998974,3.6003623899895,11.1208417735125,0.835021161480018,3.20652841683127,3.40702739082559,1970.14418555835,3.95109353359056,3.46845795104385,265.519885355806,2.12658620235783,7.38039523737713,-0.0803184790281687,0.70187912565,2.8563596492,2.0563596497,1.6683202979,0.199137156898866,0.463808803427442,0.255176859979928,0.185671029956239,3.20000000142297,1.90000000142297,1.10000000142297,0.844867404176387,2.12543894969315,2.46083651993323,1.70170309826976
