tree_number,lambda.sim,mu_0.sim,beta.sim,time_decline,time80,final_rich80,time50,time20,time_s20,ntip80,ntip50,ntip20,ntip_s20,mu_f.sim.80,mu_f.sim.50,mu_f.sim.20,mu_f.sim.s20,lambda.fit.80,mu_f.fit.80,beta.fit.80,lambda.fit.50,mu_f.fit.50,beta.fit.50,lambda.fit.20,mu_f.fit.20,beta.fit.20,lambda.fit.s20,mu_f.fit.s20,beta.fit.s20
1542,4.465819939,5.32443163,0.697896016,2.614636615,5.814636615,12.73788521,4.514636615,3.614636615,1.8,5,18,40,49,5.23240762005766,5.09643876344296,4.89715965432725,3.80840456350618,1.51875406855499,43.2395751842928,0.0555961552771129,3.42549511091958,3.39888045197024,546.224791681493,3.19715369835895,2.90322596099702,24.4222745872248,4.17148467457649,2.85155284904666,111.565397185353
1543,3.18819435,3.750418583,0.497952839,3.811047605,8.511047605,14.16114283,6.611047605,5.311047605,2.6,28,44,89,63,3.6962813368743,3.61097880471182,3.48402589205569,2.72285548526938,2.81643934982697,2.81351288930946,30.3077906676134,2.60529259600662,2.45282801167405,954.730807721946,3.15009789567973,2.83227576075745,67.4355769318852,1.58795695044777,4.50052786391375,1.46850461306591e-06
1544,5.730326394,7.315257855,0.843538206,1.813102369,3.813102369,10.07565627,3.113102369,2.513102369,1.2,19,29,60,66,7.02195079947224,6.78588300843567,6.4371058551907,4.65687912540215,8.33152273711231,8.4189941876363,1859.60543100934,2.57665862003152,2.25212654109234,13.2508015888823,4.40343257866626,3.88320155915757,70.3568449692466,6.96950325918317,5.57100872019618,4089.91107365199
1545,5.729525569,7.106299195,0.494474136,3.319160036,6.019160036,223.1711126,5.019160036,4.219160036,2.5,100,323,488,444,6.74401900353477,6.51229162819688,6.22405280846634,5.04198871787147,4.27106552572288,4.1524478784204,705.038079990069,5.17459275559452,4.89737551983352,707.066123998299,4.39421423726394,3.83377208641576,112.477712291337,5.38131345477363,3.96103837283753,105.030534666265
1546,3.309576643,3.639571059,0.404846224,5.929523947,13.22952395,100.3586667,10.12952395,8.129523947,4.3,42,130,252,217,3.6223918770969,3.57930786170183,3.50414659279711,3.00128768184475,2.77387859461871,2.7702657924247,80.3531744078931,2.75740433421441,2.64604370999769,678.273210212777,3.401864660258,3.214928723963,805.986146677453,2.73989372249648,2.00452520034505,789.84214581015
1547,3.133464188,4.680200575,0.222896714,4.967295347,8.567295347,117.3763766,7.267295347,6.267295347,3.8,32,135,225,193,3.98689263026542,3.75386182045994,3.52256291526524,2.67381786555763,1.14322716339498,1.02284124095233,9.36149493187105,2.78882444244222,2.62698416331771,37.4677718096196,2.73825979486434,2.42210466819717,672.644005068143,2.74041979821709,1.724736472126,887.379446043125
1548,5.06723516,6.787671833,0.447201116,3.069155722,5.569155722,84.88288703,4.669155722,3.969155722,2.3,66,205,228,163,6.22520586778625,5.94648681755516,5.63728629965548,4.36093998350499,3.85576679575458,3.70854185950256,1229.0137403607,4.57972788163174,4.21404767310797,462.761593307425,4.01937661572852,3.41464573566801,66.0275301844912,4.90385131356792,3.39038036258576,2344.32491204784
1549,6.144656374,6.585354505,0.669787541,4.037464346,9.237464346,325.4787329,6.937464346,5.537464346,2.9,573,1568,2587,2316,6.57181698731663,6.52217523361893,6.42398790094361,5.64126631909002,5.34237962234842,5.25678621767665,779.824174592954,5.85514474926325,5.66246263051521,976.06539675122,5.64436732525619,5.29155948149947,1115.00873166605,5.88561691063743,4.6188955780944,377.68374852263
1550,4.236534511,4.438315318,0.642499893,4.810659415,14.41065942,55.35087601,9.810659415,7.210659415,3.2,21,57,134,210,4.43789250149352,4.43019245623543,4.39514374492664,3.8703669614955,2.54468297786966,5.42822491471401,0.555010722480787,2.64374009676952,2.58582691413137,43.4528865477192,3.93871382894539,3.80055169554736,930.224179564521,4.08923928996483,3.37286763740843,142.213586110686
1551,5.042967054,6.650440572,0.427744563,3.319783635,5.919783635,126.9467064,4.919783635,4.219783635,2.5,139,307,440,457,6.12181355101854,5.83963549045848,5.55660149522738,4.36782561575219,4.88351960229745,4.76567388663359,217.868444290949,3.47663308662901,3.09454742815462,34.1929541415743,4.70430461483207,4.23783863609132,1345.70252038718,4.2150321946546,2.68828315978392,1667.49467240522
